> G.01
-180.0 64.0
-180.0 90.0
180.0 90.0
180.0 64.0
> G.02
-37.0 64.0
-37.0 46.66667
-16.0 46.66667
-16.0 47.0
-13.0 47.0
-13.0 48.0
-11.5 48.0
-11.5 47.0
-7.5 47.0
-7.5 48.0
0.0 48.0
0.0 46.66667
6.0 46.66667
6.0 64.0
-37.0 64.0
> G.03
-101.0 33.0
-101.0 15.0
-61.0 15.0
-61.0 24.0
-69.0 24.0
-69.0 33.0
-101.0 33.0
> G.04 -12.0 39.0
-16.0 47.0
-16.0 42.0
-15.3333 42.0
-15.3333 36.0
-15.3833 32.6830
-16.75 32.0
-18.0 32.450
-18.0 31.0
-16.0 31.0
-15.048 31.31
-14.325 31.6930
-13.8 32.1670
-5.25 32.1670
-5.25 38.0
-7.3333 38.0
-7.3333 43.0
0.0 43.0
0.0 48.0
-7.5 48.0
-7.5 47.0
-11.5 47.0
-11.5 48.0
-13.0 48.0
-13.0 47.0
-16.0 47.0
> G.05
-20.0 19.233
-24.9670 19.2330
-24.9670 20.0
-30.0 20.0
-30.0 18.0
-40.0 18.0
-40.0 20.0
-47.0 20.0
-47.0 26.0
-47.0 29.9167
-45.66667 32.0
-39.5 32.0
-39.5 30.0
-31.2250 30.0
-31.2250 31.1870
-30.0 31.1870
-30.0 35.0
-23.5500 35.0
-23.0160 35.00
-23.0160 34.5
-21.0 34.5
-21.0 32.0
-20.0 32.0
-20.0 25.8830
-14.0 25.8830
-14.0 19.2330
-20.0 19.2330
> G.06
-21.7833 12.3
-21.7833 5.1833
-20.5 5.1833
-20.5 -0.516667
3.16667 -0.516667
3.16667 -7.7
13.66667 -7.7
13.66667 -0.516667
11.0 -0.516667
11.0 7.0
-11.2833 7.0
-11.2833 12.3
> G.07
-75.0 -60.0
-75.0 -66.0
-66.0 -66.0
-66.0 -79.0
2.0 -79.0
2.0 -66
-2.0 -66
-2.0 -65.0
-12.0 -65.0
-12.0 -60.0
-75.0 -60.0
> G.08
2 -72
2 -66.0
-2 -66.0
-2 -65.0
-12 -65
-12 -60
-20 -60
-20 -56
-12 -56
-12 -24
20 -24
20 7.0
30 7.0
30 13
43 13
43.0 31.0
99 31
99 14
98.85 10
99.5 8
105 0
115 0
115 4
136 4
136 -24
158.6 -24
158.6 -31
157 -31
157 -47
165 -47
165 -54
163.5 -54
163.5 -57.5
170 -57.5
170 -72
2 -72
> G.09 168.0 -40.0
158.6 -24
158.6 -31
157 -31
157 -47
165 -47
165 -54
163.5 -54
163.5 -57.5
180.0 -57.5
180.0 -24.0
158.6 -24.0
> 5.01
6.0 46.66667
6.0 64.0
90.0 64.0
90.0 46.66667
6.0 46.66667
> 5.02
90.0 46.66667
90.0 64.0
180.0 64.0
