> 1
-6 38.5
-6 46
2.5 46
2.5 38.5
-6 38.5
> 2
2.5 38.5
2.5 46
11 46
11 38.5
2.5 38.5
> 3
11 38.5
11 46
19.5 46
19.5 38.5
11 38.5
> 4
19.5 38.5
19.5 46
28 46
28 38.5
19.5 38.5
> 5
27.25 40
27.25 47.5
42 47.5
42 40
27.25 40
> 6
-6 38.5
-6 30
2.5 30
2.5 38.5
-6 38.5
> 7
2.5 38.5
2.5 30
11 30
11 38.5
2.5 38.5
> 8
11 38.5
11 30
19.5 30
19.5 38.5
11 38.5
> 9
19.5 38.5
19.5 30
28 30
28 38.5
19.5 38.5
> 10
28 38.5
28 30
36.5 30
36.5 38.5
28 38.5
